date,series,value,source,retrieved_at
2023-02-01,Comunicación,974.8005,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-03-01,Comunicación,993.4553,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-04-01,Comunicación,1055.7168,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-05-01,Comunicación,1126.7574,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-06-01,Comunicación,1244.8,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-07-01,Comunicación,1396.2642,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-08-01,Comunicación,1458.9608,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-09-01,Comunicación,1598.7345,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-10-01,Comunicación,1800.8697,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-11-01,Comunicación,2074.7351,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2023-12-01,Comunicación,2398.1411,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-01-01,Comunicación,3000.0919,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-02-01,Comunicación,3741.4942,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-03-01,Comunicación,4338.0607,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-04-01,Comunicación,4952.6903,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-05-01,Comunicación,5359.4587,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-06-01,Comunicación,5644.1836,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-07-01,Comunicación,5844.002,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-08-01,Comunicación,6127.5967,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-09-01,Comunicación,6310.1757,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-10-01,Comunicación,6440.16,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-11-01,Comunicación,6539.2377,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2024-12-01,Comunicación,6869.1427,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-01-01,Comunicación,7030.3817,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-02-01,Comunicación,7191.0294,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-03-01,Comunicación,7371.0947,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-04-01,Comunicación,7577.0727,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-05-01,Comunicación,7889.7331,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-06-01,Comunicación,8030.954,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-07-01,Comunicación,8214.616,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-08-01,Comunicación,8369.2742,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-09-01,Comunicación,8550.2948,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-10-01,Comunicación,8739.731,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-11-01,Comunicación,8974.1837,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2025-12-01,Comunicación,9271.0637,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-01-01,Comunicación,9607.476,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-02-01,Comunicación,9784.5611,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-03-01,Comunicación,10069.9375,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-04-01,Comunicación,10478.7314,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2026-05-01,Comunicación,10838.4277,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-01-01,Educación,482.7713,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-02-01,Educación,495.5553,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-03-01,Educación,612.6821,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-04-01,Educación,635.5003,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-05-01,Educación,656.1411,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-06-01,Educación,669.445,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-07-01,Educación,710.2816,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-08-01,Educación,745.7268,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
2022-09-01,Educación,772.9974,"INDEC IPC cuadros (divisions, index levels)",2026-06-13T15:27:00
